,0
1744,0.0
1745,-5.0
1746,0.0
1747,0.0
1748,-1.0
1749,0.0
1750,8.0
1751,3.0
1752,0.0
1753,-4.0
1754,1.0
1755,-12.0
1756,0.0
1757,-2.0
1758,-1.0
1759,-1.0
1760,-3.0
1761,-12.0
1762,-13.0
1763,0.0
1764,-1.0
1765,0.0
1766,1.0
1767,0.0
1768,-1.0
1769,-6.0
1770,-1.0
1771,-18.0
1772,1.0
1773,0.0
1774,0.0
1775,4.0
1776,16.0
1777,-2.0
1778,0.0
1779,0.0
1780,0.0
1781,-1.0
1782,0.0
1783,1.0
1784,0.0
1785,-3.0
1786,-1.0
1787,3.0
1788,0.0
1789,-2.0
1790,0.0
1791,-4.0
1792,0.0
1793,3.0
1794,14.0
1795,-1.0
1796,1.0
1797,-1.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,1.0
1803,1.0
1804,-5.0
1805,-11.0
1806,1.0
1807,1.0
1808,0.0
1809,5.0
1810,0.0
1811,-1.0
1812,1.0
1813,-22.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,1.0
1819,1.0
1820,0.0
1821,-11.0
1822,-9.0
1823,2.0
1824,0.0
1825,0.0
1826,0.0
1827,-1.0
1828,-1.0
1829,1.0
1830,0.0
1831,-9.0
1832,-1.0
1833,0.0
1834,-2.0
1835,0.0
1836,-1.0
1837,-4.0
1838,-2.0
1839,-1.0
1840,0.0
1841,0.0
1842,1.0
1843,1.0
1844,2.0
1845,-1.0
1846,-1.0
1847,0.0
1848,-1.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,-4.0
1854,0.0
1855,9.0
1856,-1.0
1857,-6.0
1858,0.0
1859,-5.0
1860,-7.0
1861,-17.0
1862,1.0
1863,-10.0
1864,-1.0
1865,-1.0
1866,1.0
1867,-1.0
1868,0.0
1869,-7.0
1870,-7.0
1871,0.0
1872,1.0
1873,-2.0
1874,0.0
1875,-2.0
1876,1.0
1877,-3.0
1878,2.0
1879,0.0
1880,7.0
1881,-10.0
1882,-1.0
1883,-4.0
1884,1.0
1885,0.0
1886,6.0
1887,0.0
1888,-1.0
1889,0.0
1890,0.0
1891,-4.0
1892,-1.0
1893,3.0
1894,-2.0
1895,-1.0
1896,-1.0
1897,0.0
1898,0.0
1899,-1.0
1900,0.0
1901,0.0
1902,0.0
1903,-3.0
1904,0.0
1905,3.0
1906,0.0
1907,-2.0
1908,-13.0
1909,-7.0
1910,0.0
1911,2.0
1912,1.0
1913,-7.0
1914,0.0
1915,3.0
1916,-1.0
1917,-1.0
1918,0.0
1919,-1.0
1920,5.0
1921,0.0
1922,-8.0
1923,13.0
1924,-3.0
1925,0.0
1926,-1.0
1927,-10.0
1928,-1.0
1929,-14.0
1930,-2.0
1931,-3.0
1932,-1.0
1933,-1.0
1934,4.0
1935,-8.0
1936,14.0
1937,0.0
1938,-1.0
1939,-2.0
1940,-2.0
1941,-6.0
1942,1.0
1943,0.0
1944,0.0
1945,8.0
1946,0.0
1947,3.0
1948,9.0
1949,0.0
1950,3.0
1951,15.0
1952,-1.0
1953,-1.0
1954,5.0
1955,0.0
1956,2.0
1957,1.0
1958,0.0
1959,0.0
1960,-1.0
1961,0.0
1962,3.0
1963,0.0
1964,-1.0
1965,5.0
1966,-3.0
1967,-13.0
1968,1.0
1969,-1.0
1970,0.0
1971,-4.0
1972,0.0
1973,-1.0
1974,1.0
1975,-1.0
